,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,comparison,date_tag,fig_name,fig_num
0,Early_IA_Correct,WT VEH,Het VEH,"(1000,)","(1000,)",0.8624,0.1097,0.8109,0.107,robust_cohen_d,[4.7466e-01 3.1752e-01 1.0000e-04],0.31751633413494085,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.225       0.8837052 ]
 [ 0.775       1.11810048]]","[[-0.075       0.82999673]
 [ 0.925       1.63674785]]",1.0806716560186809,1.0415608097425637,-0.22499999999999998,-0.07499999999999998,[-0.22 -0.22],[0.69106138 1.08067166],True,True,[-0.07 -0.07],[0.64256742 1.04156081],1.0806716560186809,DB_index,geno_day,ensemble,False,Early_IA_Correct_v_Late_IA,28_Aug_2025,7_D_Autoencoder Early_IA_Correct_v_Late_IA DB index by ensembles,7
1,Early_IA_Correct,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.8109,0.107,0.7467,0.1044,robust_cohen_d,[6.0747e-01 2.7177e-01 1.0000e-04],0.271768793429664,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.075       0.82999673]
 [ 0.925       1.63674785]]","[[0.075      0.76180955]
 [1.075      1.77653819]]",1.0415608097425637,0.9453883211073641,-0.07499999999999998,0.07500000000000001,[-0.07 -0.07],[0.64256742 1.04156081],True,True,[0.08 0.08],[0.58430595 0.94538832],1.0415608097425637,DB_index,geno_day,ensemble,False,Early_IA_Correct_v_Late_IA,28_Aug_2025,7_D_Autoencoder Early_IA_Correct_v_Late_IA DB index by ensembles,7
2,Early_IA_Correct,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.8109,0.107,0.6507,0.0919,robust_cohen_d,[1.6068e+00 5.4050e-02 1.0000e-04],0.05404866072522008,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.075       0.82999673]
 [ 0.925       1.63674785]]","[[0.225      0.66764631]
 [1.225      1.13560734]]",1.0415608097425637,0.8388110981379002,-0.07499999999999998,0.22500000000000003,[-0.07 -0.07],[0.64256742 1.04156081],True,True,[0.23 0.23],[0.50678924 0.8388111 ],1.0415608097425637,DB_index,geno_day,ensemble,False,Early_IA_Correct_v_Late_IA,28_Aug_2025,7_D_Autoencoder Early_IA_Correct_v_Late_IA DB index by ensembles,7
3,Late_IA,WT VEH,Het VEH,"(1000,)","(1000,)",1.0609,0.1441,1.3882,0.243,robust_cohen_d,[1.63818e+00 5.06900e-02 1.00000e-04],0.05069257721033549,[1],[1],Late_IA,Late_IA,"(1, 0)","[[-0.225       0.8837052 ]
 [ 0.775       1.11810048]]","[[-0.075       0.82999673]
 [ 0.925       1.63674785]]",1.3727978140857187,1.9926761433519724,0.775,0.925,[0.78 0.78],[0.83994991 1.37279781],True,True,[0.92 0.92],[1.05863286 1.99267614],1.9926761433519724,DB_index,geno_day,ensemble,False,Early_IA_Correct_v_Late_IA,28_Aug_2025,7_D_Autoencoder Early_IA_Correct_v_Late_IA DB index by ensembles,7
4,Late_IA,Het VEH,Het CLNZ,"(1000,)","(1000,)",1.3882,0.243,1.557,0.2437,robust_cohen_d,[6.9335e-01 2.4404e-01 1.0000e-04],0.24404490111898003,[1],[1],Late_IA,Late_IA,"(1, 0)","[[-0.075       0.82999673]
 [ 0.925       1.63674785]]","[[0.075      0.76180955]
 [1.075      1.77653819]]",1.9926761433519724,2.1264639802537655,0.925,1.075,[0.92 0.92],[1.05863286 1.99267614],True,True,[1.08 1.08],[1.2096075  2.12646398],2.1264639802537655,DB_index,geno_day,ensemble,False,Early_IA_Correct_v_Late_IA,28_Aug_2025,7_D_Autoencoder Early_IA_Correct_v_Late_IA DB index by ensembles,7
5,Late_IA,Het VEH,Het postCLNZ,"(1000,)","(1000,)",1.3882,0.243,1.0556,0.151,robust_cohen_d,[1.64423e+00 5.00600e-02 1.00000e-04],0.05006424611237281,[1],[1],Late_IA,Late_IA,"(1, 0)","[[-0.075       0.82999673]
 [ 0.925       1.63674785]]","[[0.225      0.66764631]
 [1.225      1.13560734]]",1.9926761433519724,1.3903967242265987,0.925,1.225,[0.92 0.92],[1.05863286 1.99267614],True,True,[1.23 1.23],[0.83397836 1.39039672],1.9926761433519724,DB_index,geno_day,ensemble,False,Early_IA_Correct_v_Late_IA,28_Aug_2025,7_D_Autoencoder Early_IA_Correct_v_Late_IA DB index by ensembles,7
